City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Hasaki,JP,35.7333,140.8333,63.28,59,94,15.39,overcast clouds
119,Husavik,IS,66.0449,-17.3389,44.71,76,100,20.51,overcast clouds
120,Port Alfred,ZA,-33.5906,26.891,62.19,93,96,1.99,overcast clouds
121,Hirara,JP,24.8,125.2833,79.07,83,75,17.27,broken clouds
122,Saint-Louis,SN,16.3333,-15.0,74.84,43,81,1.5,broken clouds
123,Milton,US,34.1322,-84.3007,39.88,77,23,1.01,few clouds
124,Barrow,US,71.2906,-156.7887,27.03,75,83,16.15,broken clouds
125,Cabedelo,BR,-6.9811,-34.8339,77.67,80,6,7.87,clear sky
126,Butaritari,KI,3.0707,172.7902,81.46,73,61,15.17,broken clouds
127,Makakilo City,US,21.3469,-158.0858,78.57,65,20,6.91,few clouds
128,Port Blair,IN,11.6667,92.75,80.64,83,75,2.3,broken clouds
129,Mehamn,NO,71.0357,27.8492,42.75,70,75,14.97,broken clouds
130,Sagua La Grande,CU,22.8067,-80.0756,75.69,84,5,5.61,moderate rain
131,Hilo,US,19.7297,-155.09,75.11,91,100,6.91,moderate rain
132,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,92,8.01,overcast clouds
133,Te Anau,NZ,-45.4167,167.7167,57.85,92,100,3.11,overcast clouds
134,Coahuayana,MX,18.7333,-103.6833,74.7,88,0,3.04,clear sky
135,Lima,PE,-12.0432,-77.0282,62.91,85,20,16.11,few clouds
136,East London,ZA,-33.0153,27.9116,65.34,94,40,4.61,scattered clouds
137,Goba,ET,7.0167,39.9833,45.86,68,1,3.62,clear sky
138,Cherskiy,RU,68.75,161.3,1.2,97,100,3.09,light snow
139,Victoria Point,AU,-27.5833,153.3,80.44,37,39,4.0,scattered clouds
140,Kahului,US,20.8947,-156.47,80.62,70,40,17.27,scattered clouds
141,Thomasville,US,35.8826,-80.082,39.74,84,36,7.29,scattered clouds
142,Paamiut,GL,61.994,-49.6678,12.69,79,63,8.55,broken clouds
143,Vaitape,PF,-16.5167,-151.75,79.86,71,98,1.14,overcast clouds
144,Lebu,CL,-37.6167,-73.65,55.81,94,71,8.12,broken clouds
145,Tyukhtet,RU,56.5389,89.3011,24.58,80,100,13.27,overcast clouds
146,Pevek,RU,69.7008,170.3133,-0.29,98,98,7.07,overcast clouds
147,Codajas,BR,-3.8367,-62.0569,73.62,96,95,1.66,overcast clouds
148,Itoman,JP,26.1247,127.6694,78.82,73,75,12.66,broken clouds
